                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.94104,                0.73861,                 1.2644,                0.93751,                0.46196,                0.53133,                 0.3239,                 1.3464,                0.81811,                 1.8948,             0.00057778,             0.00057778,             0.00057778
                     35,                0.96531,                0.75109,                 1.2864,                0.94164,                0.45246,                0.49573,                0.29525,                 1.4017,                0.84559,                 1.9457,             0.00054478,             0.00054478,             0.00054478
                     36,                0.91906,                0.76698,                  1.256,                0.96131,                0.45367,                0.51576,                0.30205,                 1.3944,                0.82177,                 1.9218,             0.00051177,             0.00051177,             0.00051177
                     37,                0.91369,                0.71269,                 1.2447,                0.96093,                0.45109,                 0.5244,                0.30458,                 1.4432,                0.89158,                 1.9607,             0.00047876,             0.00047876,             0.00047876
                     38,                0.88903,                0.68479,                 1.2463,                0.45595,                0.63949,                0.54626,                 0.3142,                 1.4321,                0.82993,                 1.9195,             0.00044576,             0.00044576,             0.00044576
                     39,                0.90847,                0.72901,                 1.2655,                0.46477,                0.64493,                0.65834,                0.38275,                 1.3954,                 0.7854,                 1.8902,             0.00041275,             0.00041275,             0.00041275
                     40,                0.85498,                0.68611,                 1.2309,                0.43592,                0.65036,                0.51923,                0.31664,                 1.3818,                0.79347,                 1.9264,             0.00037974,             0.00037974,             0.00037974
                     41,                0.88201,                0.70134,                 1.2362,                0.41569,                0.65036,                 0.5111,                0.31355,                 1.4289,                0.77974,                 1.9516,             0.00034674,             0.00034674,             0.00034674
                     42,                0.86191,                0.69147,                  1.238,                0.94769,                0.46739,                0.49492,                0.29622,                 1.4334,                 0.7904,                 1.9539,             0.00031373,             0.00031373,             0.00031373
                     43,                0.83653,                0.64664,                 1.1972,                 0.9595,                0.46739,                0.49442,                0.30382,                  1.388,                0.80164,                 1.9257,             0.00028072,             0.00028072,             0.00028072
                     44,                0.81967,                 0.6566,                 1.2006,                0.45732,                0.65036,                0.50608,                0.30825,                 1.4304,                0.75374,                 2.0005,             0.00024772,             0.00024772,             0.00024772
                     45,                0.83732,                0.65235,                 1.2149,                0.44186,                0.65036,                0.51283,                 0.3206,                 1.3588,                0.76853,                 1.9379,             0.00021471,             0.00021471,             0.00021471
                     46,                0.82401,                0.60946,                 1.1948,                 0.4821,                0.65036,                0.53425,                0.32671,                 1.4169,                0.79164,                 2.0053,              0.0001817,              0.0001817,              0.0001817
                     47,                0.84191,                0.67562,                 1.2205,                0.43723,                0.65036,                 0.5146,                0.31068,                 1.4255,                0.79493,                 1.9974,              0.0001487,              0.0001487,              0.0001487
                     48,                0.80938,                0.65618,                 1.1992,                0.43415,                0.64973,                0.50812,                0.30367,                 1.4337,                0.80237,                 1.9883,             0.00011569,             0.00011569,             0.00011569
                     49,                0.82281,                0.63325,                 1.2006,                0.43525,                0.64493,                0.50949,                0.31059,                 1.4143,                0.78699,                  1.981,             8.2683e-05,             8.2683e-05,             8.2683e-05
