                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.95062,                0.67694,                 1.2777,                0.88736,                0.89247,                0.93823,                0.58097,                 1.3477,                0.72252,                 1.8536,              0.0006932,              0.0006932,              0.0006932
                     35,                0.99778,                0.65756,                 1.3094,                0.84039,                0.90323,                0.92517,                0.56882,                 1.4488,                0.71698,                 1.9518,              0.0006536,              0.0006536,              0.0006536
                     36,                0.95428,                 0.6513,                 1.2815,                0.87834,                0.91398,                0.94596,                0.57697,                 1.3816,                0.69943,                 1.9155,               0.000614,               0.000614,               0.000614
                     37,                0.95308,                0.61355,                 1.2655,                0.86378,                0.93548,                0.93999,                0.58986,                 1.3726,                 0.6904,                 1.9041,              0.0005744,              0.0005744,              0.0005744
                     38,                0.93548,                0.60836,                 1.2696,                0.90071,                0.89247,                  0.933,                0.59559,                 1.3559,                0.68924,                 1.8559,              0.0005348,              0.0005348,              0.0005348
                     39,                0.92814,                0.62345,                 1.2788,                0.93455,                0.92126,                0.94219,                0.59248,                 1.3873,                0.65251,                 1.9256,              0.0004952,              0.0004952,              0.0004952
                     40,                0.90638,                0.59663,                 1.2657,                0.92161,                0.86022,                0.95386,                0.60547,                 1.3217,                0.67883,                 1.8546,              0.0004556,              0.0004556,              0.0004556
                     41,                0.90439,                0.61132,                 1.2513,                0.91275,                0.89989,                0.95861,                0.60372,                 1.3069,                0.69589,                  1.825,               0.000416,               0.000416,               0.000416
                     42,                0.89218,                0.59961,                 1.2577,                 0.9355,                0.89247,                0.96903,                0.59243,                  1.393,                0.67711,                 1.9053,              0.0003764,              0.0003764,              0.0003764
                     43,                 0.8597,                0.57772,                 1.2107,                0.89992,                0.90323,                0.97028,                 0.6106,                 1.3661,                0.65061,                 1.8884,              0.0003368,              0.0003368,              0.0003368
                     44,                0.84628,                0.56662,                 1.2165,                0.92355,                0.93548,                 0.9693,                0.62002,                 1.3302,                0.63498,                 1.8675,              0.0002972,              0.0002972,              0.0002972
                     45,                0.85263,                0.58671,                 1.2233,                0.92381,                0.95699,                0.96637,                0.62342,                  1.333,                0.62718,                 1.8561,              0.0002576,              0.0002576,              0.0002576
                     46,                0.85757,                0.56403,                 1.2213,                0.93611,                0.94624,                0.96421,                0.61031,                 1.4232,                0.60231,                 1.9425,               0.000218,               0.000218,               0.000218
                     47,                0.85614,                0.59042,                 1.2318,                0.91215,                0.95699,                 0.9606,                0.61443,                 1.4153,                0.59109,                 1.9511,              0.0001784,              0.0001784,              0.0001784
                     48,                0.82568,                0.56128,                 1.2047,                0.91118,                0.94624,                0.96645,                0.61244,                 1.3784,                0.60097,                 1.9043,              0.0001388,              0.0001388,              0.0001388
                     49,                0.85304,                0.57507,                 1.2208,                0.90772,                0.95194,                0.96998,                0.61724,                 1.3722,                0.59499,                 1.9017,               9.92e-05,               9.92e-05,               9.92e-05
