                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0354,                 2.4049,                 1.9354,                  0.945,                0.69359,                0.80137,                0.37591,                 1.9307,                 1.1192,                 2.0619,              1.667e-05,              1.667e-05,              1.667e-05
                      1,                 1.9762,                 2.1999,                 2.0227,                0.96025,                0.71015,                 0.8311,                0.41437,                 1.8959,                 1.0158,                 2.0134,              4.902e-05,              4.902e-05,              4.902e-05
                      2,                   2.14,                 2.3057,                 2.1531,                0.97019,                0.73441,                0.84762,                0.42432,                 1.8282,                0.88723,                 1.9289,             8.0049e-05,             8.0049e-05,             8.0049e-05
                      3,                 1.7668,                 1.8138,                 1.9635,                0.97809,                 0.7932,                0.87763,                0.48524,                 1.7274,                0.82884,                 1.8506,             0.00010976,             0.00010976,             0.00010976
                      4,                   1.69,                 1.7987,                 1.8203,                0.96088,                0.88606,                0.89716,                0.51959,                 1.5953,                0.76708,                 1.7579,             0.00013815,             0.00013815,             0.00013815
                      5,                  1.581,                 1.6085,                  1.654,                 0.9817,                0.88883,                  0.897,                0.53831,                 1.5627,                  0.764,                 1.7056,             0.00016522,             0.00016522,             0.00016522
                      6,                 1.4673,                 1.3403,                 1.6767,                0.97511,                    0.9,                0.89702,                0.55044,                  1.526,                0.76085,                 1.6765,             0.00019096,             0.00019096,             0.00019096
                      7,                  1.189,                 1.3083,                 1.4399,                0.85686,                 0.9609,                0.97833,                0.53428,                 1.5806,                0.85369,                  1.685,             0.00021539,             0.00021539,             0.00021539
                      8,                 1.2833,                 1.1611,                 1.4521,                0.79103,                0.96633,                0.96643,                0.53805,                 1.6195,                 0.8877,                 1.6949,              0.0002385,              0.0002385,              0.0002385
                      9,                 1.6075,                 1.4437,                  1.776,                0.88557,                0.94419,                0.96167,                0.49813,                 1.6423,                0.88777,                 1.7067,             0.00026029,             0.00026029,             0.00026029
                     10,                 1.5955,                  1.618,                 1.5646,                0.83403,                    0.9,                0.94643,                0.48272,                 1.6549,                0.88415,                 1.7174,             0.00028076,             0.00028076,             0.00028076
                     11,                 1.1224,                0.99762,                 1.3387,                 0.8308,                    0.9,                 0.9375,                0.49724,                 1.6532,                0.84735,                 1.7232,              0.0002999,              0.0002999,              0.0002999
                     12,                 1.1887,                 1.2893,                 1.3727,                0.83471,                    0.9,                0.93056,                0.53236,                 1.6363,                0.85105,                  1.719,             0.00031773,             0.00031773,             0.00031773
                     13,                 1.3657,                 1.2429,                 1.4808,                0.85286,                    0.9,                0.85784,                0.46723,                 1.6369,                0.85856,                 1.7193,             0.00033424,             0.00033424,             0.00033424
                     14,                 1.2956,                 1.2385,                 1.5178,                 0.8692,                 0.8932,                0.87796,                0.49414,                 1.6363,                0.89814,                 1.7035,             0.00034942,             0.00034942,             0.00034942
                     15,                 1.1305,                 1.1789,                  1.308,                0.89377,                0.89139,                0.87823,                0.49257,                 1.6434,                0.91069,                 1.6904,             0.00036329,             0.00036329,             0.00036329
                     16,                 1.2369,                 1.0794,                 1.3535,                0.89206,                0.86782,                0.87833,                0.47945,                 1.6558,                0.92494,                 1.6883,             0.00037584,             0.00037584,             0.00037584
                     17,                 1.4986,                 1.3834,                   1.75,                0.84901,                    0.9,                0.86268,                0.44166,                 1.6906,                0.90662,                 1.7153,             0.00038706,             0.00038706,             0.00038706
                     18,                 1.2387,                   1.08,                 1.3422,                0.87312,                0.85787,                0.89862,                0.46548,                 1.7045,                0.90793,                 1.7162,             0.00039697,             0.00039697,             0.00039697
                     19,                 1.0417,                0.98796,                 1.3205,                0.75741,                0.83767,                 0.8585,                0.44398,                 1.6714,                0.91609,                 1.6868,             0.00040555,             0.00040555,             0.00040555
                     20,                 1.0794,                 1.1162,                 1.3818,                 0.7496,                0.81447,                0.85856,                0.43429,                  1.665,                0.91293,                 1.6901,             0.00041282,             0.00041282,             0.00041282
                     21,                 1.1705,                 1.1325,                 1.3352,                0.74109,                0.79354,                 0.8585,                 0.4615,                 1.6518,                0.92543,                 1.6784,             0.00041876,             0.00041876,             0.00041876
                     22,                 1.0152,                0.95523,                 1.2545,                0.78003,                    0.9,                0.89868,                0.49605,                 1.6147,                 0.9308,                 1.6461,             0.00042338,             0.00042338,             0.00042338
                     23,                 1.0599,                0.99158,                 1.3472,                0.77663,                    0.9,                0.89882,                0.50936,                 1.5393,                0.96501,                 1.5895,             0.00042669,             0.00042669,             0.00042669
                     24,                0.96294,                0.88136,                 1.1523,                 0.7729,                    0.9,                0.89868,                0.48987,                 1.4698,                0.98129,                 1.5565,             0.00042867,             0.00042867,             0.00042867
                     25,                 1.0088,                 1.0007,                 1.2326,                0.76922,                    0.9,                0.89868,                0.49317,                 1.4268,                0.98522,                 1.5297,             0.00042934,             0.00042934,             0.00042934
                     26,                0.91559,                 1.0651,                 1.3347,                0.76635,                    0.9,                 0.8992,                0.53487,                  1.412,                0.99658,                 1.4972,             0.00042868,             0.00042868,             0.00042868
                     27,                0.77996,                0.79922,                 1.1265,                0.76635,                    0.9,                 0.8992,                0.53487,                  1.412,                0.99658,                 1.4972,              0.0004267,              0.0004267,              0.0004267
                     28,                0.87294,                0.97021,                 1.2972,                0.78372,                    0.9,                0.89904,                0.56215,                 1.4409,                 1.0113,                 1.5103,              0.0004234,              0.0004234,              0.0004234
                     29,                0.96499,                 1.0174,                 1.2933,                0.81069,                    0.9,                0.89938,                0.59289,                 1.4405,                 1.0121,                 1.5081,             0.00041879,             0.00041879,             0.00041879
                     30,                 1.0341,                 1.0817,                 1.2335,                0.81069,                    0.9,                0.89938,                0.59289,                 1.4405,                 1.0121,                 1.5081,             0.00041285,             0.00041285,             0.00041285
                     31,                0.91003,                0.87111,                 1.2845,                 0.8127,                0.89752,                0.85863,                 0.5923,                 1.4798,                 1.0243,                 1.5247,             0.00040559,             0.00040559,             0.00040559
                     32,                0.94816,                0.90537,                   1.21,                0.81318,                0.89427,                0.85832,                0.56777,                 1.5289,                 1.0862,                 1.5411,             0.00039701,             0.00039701,             0.00039701
